	TBC1	TBC12	TBC13	TBC14	TBC15	TBC16	TBC17	TBC19	TBC2	TBC20	TBC21	TBC22	TBC23	TBC24	TBC25	TBC26	TBC27	TBC28	TBC29	TBC3	TBC30	TBC31	TBC32	TBC33	TBC34	TBC35	TBC36	TBC37	TBC38	TBC4	TBC5	TBC6	TBC8
TBC30	0.7186146863265021	0.9108714334061773	0.7137950983085484	0.7722896203114853	0.7103304839550451	0.7718878276617926	0.7063933336191381	0.7059096711513829	0.8799938697534236	0.6142940786185829	0.593337971353846	0.6791229533577016	0.8599644165242097	0.6341549574702086	0.7146727051910919	0.7666809604824097	0.6197546609318144	0.777482078700945	0.6555705885574848	0.8376216230677314	0	0.8194684657872426	0.6794328252068028	0.6232919564987135	0.7307902640816099	0.8774512906327174	0.7587467663426073	0.7308439186312492	0.802182817930792	0.8874795799689054	0.8685249021731306	0.8156357890189119	0.6735766941686409
TBC31	0.8366980898019307	0.9416142051903245	0.8078504989302813	0.8774967902371408	0.7601619672280162	0.8587274026656569	0.7860678076121268	0.6042305262391585	0.9167521460444359	0.7718180872445912	0.7869254147328757	0.792833057791676	0.9223680309611707	0.7878213856645127	0.8551538764760503	0.8944181508915989	0.7817434057920648	0.8809084342723776	0.8172252071047819	0.8650169049068489	0.8194684657872426	0	0.7435308009828314	0.7216522773719565	0.7305192786382538	0.8969198155835003	0.6843965526657723	0.7591567062063143	0.8686378366729296	0.9211664026369527	0.8873505751041888	0.8469881537520074	0.7403298088554036
TBC32	0.7684839407722487	0.9208509135348069	0.7055615788379564	0.7678618641581439	0.6498352333869541	0.7539303675370447	0.702639702237873	0.658167900584583	0.9040072872277506	0.554537444106905	0.6240796458501631	0.6785994741702104	0.8806668244194248	0.6683032277049404	0.7490253557060726	0.7961272454672627	0.6314072146723919	0.8053522896733507	0.6839361756873648	0.8593897945847626	0.6794328252068028	0.7435308009828314	0	0.5825224040903793	0.6985347019961323	0.8793891598558966	0.6673886010051685	0.700590159945481	0.804009349254023	0.9084660820191333	0.8768434233477056	0.8286556598005029	0.5809659068368087
TBC33	0.7068408039071928	0.9210628512661562	0.6643529480149193	0.8004160039766132	0.6337364895335736	0.7637233757539212	0.6705734562176612	0.6331162298392999	0.9055038825855725	0.5424849657931131	0.529519459212506	0.6500473790930122	0.873010849737006	0.590016627483781	0.7153819350095326	0.7974635105480753	0.5748277462913852	0.7925632803133639	0.5789609370514615	0.8605689993566126	0.6232919564987135	0.7216522773719565	0.5825224040903793	0	0.6850580831444881	0.8872638377959304	0.6781156360830425	0.6692507897086641	0.8195887841260957	0.90835825241523	0.8820488060031535	0.8446535738148063	0.5963735080943084
TBC34	0.707907852743254	0.9165221132647552	0.6710779211939215	0.7896647067640543	0.7228618284819534	0.7956962454546027	0.6449507928717405	0.7308833214946985	0.8880016067007173	0.6660541572982202	0.6890499412025688	0.6003661492406985	0.8775918921814944	0.6914356675547553	0.7249861836780664	0.8088686160314451	0.6949827282217061	0.8169224033612499	0.6625328402279433	0.8577936811526399	0.7307902640816099	0.7305192786382538	0.6985347019961323	0.6850580831444881	0	0.8625226758449549	0.7361722719208393	0.6750239755359045	0.8220961690833291	0.9022986243121813	0.8543471548342721	0.8313195481574489	0.6458262609219795
TBC35	0.9025704676346114	0.8703926301703554	0.8936359152815513	0.8659951963723149	0.9057083942979062	0.8942269256196375	0.8830705425172451	0.8865168405253284	0.6905558754198637	0.8837187061348843	0.8883890442663116	0.8741876967766476	0.569715039483205	0.8806200790377874	0.8727082995183285	0.8674366877482137	0.8783453117653157	0.8913958049382017	0.8869684477553381	0.7305182099476732	0.8774512906327174	0.8969198155835003	0.8793891598558966	0.8872638377959304	0.8625226758449549	0	0.894922539830715	0.878014713422215	0.8492472134173107	0.7220789503607223	0.6691893927245736	0.729165498679216	0.8862245518155449
TBC36	0.8018720747720405	0.9371577616398714	0.7721846120065912	0.8401778880952068	0.7125705240102529	0.8271523061086801	0.7516927322400893	0.7089222707302537	0.9218522965446695	0.7035632579469046	0.7483072491998204	0.736335603507729	0.9012872752673089	0.6818998117402362	0.8194119763243365	0.8665608544436612	0.7311558746887066	0.8660736638880239	0.7444408729937969	0.8763754187560465	0.7587467663426073	0.6843965526657723	0.6673886010051685	0.6781156360830425	0.7361722719208393	0.894922539830715	0	0.7471237757881974	0.8493487584346429	0.9280252602576722	0.8988227546305756	0.8554481329474065	0.7045824185679247
TBC37	0.7354021390621124	0.9145685468267785	0.5989771085027552	0.8055563847480628	0.7415400888159208	0.8268394917739466	0.671484958395529	0.7139344567582798	0.8932535330055155	0.6768168483287292	0.6748625090425692	0.6579883950590005	0.8790610475250221	0.7107459329924497	0.6352512582867621	0.804615811720108	0.7098766059503064	0.8218230630334525	0.6869128347915945	0.8581282623487143	0.7308439186312492	0.7591567062063143	0.700590159945481	0.6692507897086641	0.6750239755359045	0.878014713422215	0.7471237757881974	0	0.8193054520990818	0.9087299936553194	0.861069348019216	0.8518433764106786	0.7146151665146645
TBC38	0.8487373469502461	0.8493701397369848	0.8207016508159859	0.541533016482441	0.86846094714677	0.7903077291798505	0.8148886880529386	0.8260889173604881	0.7188099231188249	0.8128376981975816	0.8241186059086626	0.8051165291713356	0.8470392755570572	0.8352490497391396	0.7680658353401068	0.5388386436539049	0.8238787720735349	0.7914123375305528	0.7863674874343313	0.8319495838354111	0.802182817930792	0.8686378366729296	0.804009349254023	0.8195887841260957	0.8220961690833291	0.8492472134173107	0.8493487584346429	0.8193054520990818	0	0.8440635590908823	0.8445928143414801	0.8364326202693306	0.8186675679873265
TBC4	0.9178752083840513	0.7992626427562479	0.8985325397822186	0.8634434236935281	0.9303984813170275	0.7627035887543676	0.9035451706847177	0.8906766060514472	0.6889875482767956	0.8918912956226752	0.8922026127566627	0.8723333934133006	0.6864249186686578	0.8973445656997523	0.8613539400574453	0.8343729439594049	0.8893319414751645	0.7204572103427344	0.8839807907623831	0.7744534026053874	0.8874795799689054	0.9211664026369527	0.9084660820191333	0.90835825241523	0.9022986243121813	0.7220789503607223	0.9280252602576722	0.9087299936553194	0.8440635590908823	0	0.6955196400675907	0.7523050139989808	0.9104341152985564
TBC5	0.8657935307982261	0.8639720189754221	0.8561428817226394	0.8576197450088053	0.9121362321408718	0.8732829954911587	0.8254805978036124	0.8556414564740208	0.6842491911773225	0.8717449730252897	0.8700557729766435	0.8280850831356251	0.6394004356328541	0.8737629781769345	0.832139310023021	0.8510478897892955	0.870813961934383	0.8702103496282168	0.8097895477633623	0.7165546702505405	0.8685249021731306	0.8873505751041888	0.8768434233477056	0.8820488060031535	0.8543471548342721	0.6691893927245736	0.8988227546305756	0.861069348019216	0.8445928143414801	0.6955196400675907	0	0.689715881481733	0.8802637990575057
TBC6	0.8534655686936751	0.8792144039409318	0.850455928064656	0.851089551813381	0.8678555988404739	0.8481354394885089	0.847810289784244	0.8102013772905643	0.7605904542619647	0.8237588614581474	0.8237499324207661	0.8018170895284317	0.729831760100885	0.8340736417411417	0.8331751359975372	0.848289776548469	0.8265903735833739	0.8655149913417549	0.8423699312619062	0.682524030576232	0.8156357890189119	0.8469881537520074	0.8286556598005029	0.8446535738148063	0.8313195481574489	0.729165498679216	0.8554481329474065	0.8518433764106786	0.8364326202693306	0.7523050139989808	0.689715881481733	0	0.8237773296894678
TBC8	0.7730129482211456	0.93194079385837	0.6449840798809667	0.7402688853236686	0.5355350147042102	0.7289512230827737	0.6502151331829563	0.6697819677799489	0.9063044918889357	0.5208436811432472	0.589943943050652	0.6367524249635917	0.8765513141236246	0.6401558398467742	0.7414170816658198	0.8008338245514105	0.6073270387724389	0.7811713814308904	0.692140927596974	0.8620757854419929	0.6735766941686409	0.7403298088554036	0.5809659068368087	0.5963735080943084	0.6458262609219795	0.8862245518155449	0.7045824185679247	0.7146151665146645	0.8186675679873265	0.9104341152985564	0.8802637990575057	0.8237773296894678	0
